ID_REF	DESCRIPTION	GSM637872	GSM637873	GSM637874	GSM637875	GSM637876	GSM637877
8174937		5.558515	5.5247	6.417628	6.616457	5.180356	5.339951
8174968		7.012765	7.163481	6.829405	6.881623	6.911527	6.766914
8174970		14.14667	14.18192	14.34583	14.29454	14.25325	14.29047
8174972		5.920995	6.214199	6.000735	5.937597	5.794815	5.993122
8174975		4.86343	4.472452	5.2248	5.113166	5.208888	4.919433
8174977		5.79168	5.387688	5.16291	5.361176	5.646554	5.403894
8174979		4.975164	4.755847	4.480746	4.755631	4.870487	4.894142
8174983		6.04373	5.539991	4.972688	5.080622	4.995437	6.059793
8174985		9.950393	9.854681	10.59313	10.45042	9.478126	9.584199
8175016		6.825813	7.191695	6.77222	6.865161	6.698728	6.851937
8175023		9.631603	9.678324	9.76538	9.814811	9.000551	9.091964
8175039		8.143808	8.10402	8.048798	7.875435	7.915361	7.99991
8175052		9.819396	9.817646	9.720104	9.892018	9.381393	9.423691
8175076		7.633554	7.620232	8.019711	7.787682	7.324084	7.637848
8175096		2.982057	3.190416	2.877481	2.867687	2.851116	3.118664
8175098		5.398111	5.571471	5.578015	5.208391	5.107442	5.157009
8175102		7.957108	8.035518	7.885934	8.14255	7.43421	7.246291
8175119		5.172527	5.272266	5.281048	5.107314	4.960793	4.847121
8175121		5.057894	5.251012	5.354446	5.180004	5.060705	5.132145
8175151		4.131369	4.291843	4.703054	4.003346	4.238107	4.309077
8175153		5.202837	5.154198	5.027617	4.870919	4.880708	4.940766
8175155		4.692935	4.621413	4.509716	4.79891	4.624903	4.801877
8175169		8.547807	8.588803	8.701261	8.721637	8.054327	8.007583
8175177		8.062748	7.884946	8.254609	8.270267	6.225347	6.191868
8175193		2.767985	2.835177	3.009802	3.097057	2.928608	3.085447
8175195		5.373269	5.345211	5.964369	6.179761	5.228172	5.400948
8175206		3.457728	3.196214	3.252702	3.191934	3.254553	3.264971
8175209		4.578792	4.590169	4.448658	4.454206	4.622807	4.48796
8175215		3.906316	3.847351	3.690545	3.636912	3.825273	3.82103
8175217		5.044908	4.716863	5.050033	4.877861	6.084484	7.463931
8175232		4.308051	4.729524	4.317631	4.155316	4.483109	4.483343
8175234		4.927275	5.377859	5.222011	5.625395	5.178822	5.108004
8175246		3.331199	3.00632	3.301048	3.276921	3.216992	3.362061
8175248		4.440267	4.308316	4.420205	4.518804	4.312516	4.580959
